Week,2024 Cases,2023 Cases,Alert Threshold,Epidemic Threshold
1,8.0,2.0,9.0,10.0
2,0.0,0.0,12.666666666666666,13.666666666666666
3,0.0,0.0,13.333333333333334,15.333333333333334
4,0.0,0.0,11.0,12.0
5,0.0,0.0,6.666666666666666,7.666666666666666
6,0.6666666666666679,0.6666666666666679,6.333333333333334,8.333333333333334
7,6.0,6.0,7.0,10.0
8,6.0,6.0,14.666666666666668,16.666666666666668
9,0.0,0.0,15.333333333333332,16.333333333333332
10,9.333333333333332,9.333333333333332,17.0,20.0
11,9.0,8.0,10.666666666666668,13.666666666666668
12,1.6666666666666643,1.6666666666666643,14.333333333333332,16.333333333333332
13,5.333333333333336,4.333333333333336,16.0,18.0
14,2.0,2.0,13.666666666666664,15.666666666666664
15,4.333333333333336,4.333333333333336,17.333333333333336,18.333333333333336
16,11.666666666666664,9.666666666666664,16.0,17.0
17,12.0,12.0,16.333333333333336,18.333333333333336
18,7.333333333333332,6.333333333333332,19.666666666666664,20.666666666666664
19,0.0,0.0,17.0,20.0
20,0.0,0.0,20.333333333333332,21.333333333333332
21,0.0,1.3333333333333321,11.666666666666668,12.666666666666668
22,0.0,5.666666666666668,16.0,18.0
23,0.0,9.0,8.333333333333332,10.333333333333332
24,0.0,9.333333333333336,12.666666666666668,15.666666666666668
25,0.0,0.0,17.0,18.0
26,0.0,0.0,16.333333333333336,17.333333333333336
27,0.0,3.333333333333334,12.666666666666666,14.666666666666666
28,0.0,0.0,10.0,13.0
29,0.0,0.0,12.333333333333334,15.333333333333334
30,0.0,0.0,4.666666666666666,6.666666666666666
