Week,2024 Cases,2023 Cases,Alert Threshold,Epidemic Threshold
1,18.0,1.0,19.0,20.0
2,6.0,4.0,21.666666666666664,22.666666666666664
3,0.6666666666666643,0.6666666666666643,21.333333333333336,23.333333333333336
4,2.3333333333333357,1.3333333333333357,18.0,19.0
5,1.0,0.0,12.666666666666664,13.666666666666664
6,6.0,6.0,11.333333333333336,13.333333333333336
7,9.333333333333332,9.333333333333332,11.0,14.0
8,7.0,7.0,17.666666666666668,19.666666666666668
9,0.0,0.0,17.333333333333332,18.333333333333332
10,8.333333333333332,8.333333333333332,18.0,21.0
11,7.0,6.0,10.666666666666668,13.666666666666668
12,0.0,0.0,13.333333333333332,15.333333333333332
13,1.3333333333333321,0.33333333333333215,14.0,16.0
14,0.0,0.0,10.666666666666668,12.666666666666668
15,0.0,0.0,13.333333333333332,14.333333333333332
16,7.333333333333332,5.333333333333332,11.0,12.0
17,8.0,8.0,11.666666666666668,13.666666666666668
18,3.6666666666666643,2.6666666666666643,15.333333333333332,16.333333333333332
19,0.0,0.0,13.0,16.0
20,0.0,1.0,16.666666666666664,17.666666666666664
21,0.0,0.0,8.333333333333334,9.333333333333334
22,0.0,3.333333333333334,13.0,15.0
23,0.0,7.0,5.666666666666666,7.666666666666666
24,0.0,7.666666666666666,10.333333333333334,13.333333333333334
25,0.0,0.0,15.0,16.0
26,0.0,0.0,14.666666666666666,15.666666666666666
27,0.0,2.666666666666666,11.333333333333334,13.333333333333334
28,0.0,0.0,9.0,12.0
29,0.0,7.0,11.666666666666666,14.666666666666666
30,0.0,5.666666666666664,4.333333333333334,6.333333333333334
